1713397717.800212,10.10.1.100:52204,,,26,60853,338.453
1713397717.800770,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.801800,10.10.1.100:52198,0,1,40,102845,423.533
1713397717.834427,10.10.1.100:52204,,,29,69541,405.523
1713397717.834997,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.836014,10.10.1.100:52198,0,1,40,102845,423.533
1713397717.868793,10.10.1.100:52204,,,31,75333,441.091
1713397717.869425,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.870472,10.10.1.100:52198,0,1,40,102845,423.533
1713397717.901761,10.10.1.100:52204,,,35,86917,496.977
1713397717.902306,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.903409,10.10.1.100:52198,0,1,40,102845,423.533
1713397717.934795,10.10.1.100:52204,,,37,92709,519.59
1713397717.935359,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.936422,10.10.1.100:52198,0,1,40,102845,423.533
1713397717.968873,10.10.1.100:52204,,,40,101397,549.484
1713397717.969479,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.970504,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.003229,10.10.1.100:52204,,,40,101397,549.484
1713397718.003791,10.10.1.100:52212,0,1,23,53613,333.328
1713397718.004846,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.035962,10.10.1.100:52204,,,40,101397,549.484
1713397718.036567,10.10.1.100:52212,0,1,25,59405,407.155
1713397718.037668,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.069606,10.10.1.100:52204,,,40,101397,549.484
1713397718.070216,10.10.1.100:52212,0,1,27,65197,467.863
1713397718.071245,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.103639,10.10.1.100:52204,,,40,101397,549.484
1713397718.104246,10.10.1.100:52212,0,1,30,73885,538.832
1713397718.105335,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.140719,10.10.1.100:52204,,,40,101397,549.484
1713397718.141359,10.10.1.100:52212,0,1,33,82573,591.7
1713397718.142385,10.10.1.100:52198,0,1,40,102845,423.533
1713397718.176113,10.10.1.100:52204,,,40,101397,549.484
1713397718.176677,10.10.1.100:52212,0,1,36,91261,633.711
