1713397597.654762,10.10.1.100:48944,0,21,22,22,818.356
1713397597.656282,10.10.1.100:48918,0,27,26,26,830.446
1713397597.657655,10.10.1.100:48934,0,21,21,21,796.993
1713397597.740581,10.10.1.100:48944,0,21,22,22,818.356
1713397597.742093,10.10.1.100:48918,0,27,27,26,830.446
1713397597.743447,10.10.1.100:48934,0,21,21,21,820.529
1713397597.824873,10.10.1.100:48944,0,21,22,22,818.356
1713397597.826407,10.10.1.100:48918,0,27,27,26,830.446
1713397597.827809,10.10.1.100:48934,0,21,21,21,829.756
1713397597.908929,10.10.1.100:48944,0,21,22,22,825.532
1713397597.910537,10.10.1.100:48918,0,27,27,26,830.446
1713397597.911867,10.10.1.100:48934,0,21,22,21,831.151
1713397597.993231,10.10.1.100:48944,0,21,22,22,831.715
1713397597.994749,10.10.1.100:48918,0,27,27,26,830.446
1713397597.996085,10.10.1.100:48934,0,21,22,21,831.151
1713397598.077805,10.10.1.100:48944,0,21,22,22,834.16
1713397598.079346,10.10.1.100:48918,0,27,27,26,830.446
1713397598.080684,10.10.1.100:48934,0,21,22,21,831.151
1713397598.161879,10.10.1.100:48944,0,21,23,22,834.528
1713397598.163942,10.10.1.100:48918,0,27,27,26,833.061
1713397598.165313,10.10.1.100:48934,0,21,22,21,831.151
1713397598.246710,10.10.1.100:48944,0,21,23,22,834.809
1713397598.248193,10.10.1.100:48918,0,27,27,26,834.18
1713397598.249646,10.10.1.100:48934,0,21,22,21,832.223
1713397598.331545,10.10.1.100:48944,0,21,23,22,834.809
1713397598.333028,10.10.1.100:48918,0,27,27,26,835.01
1713397598.334434,10.10.1.100:48934,0,21,22,21,832.223
1713397598.415504,10.10.1.100:48944,0,21,23,22,834.809
1713397598.416961,10.10.1.100:48918,0,27,27,26,835.421
1713397598.418459,10.10.1.100:48934,0,21,22,21,832.223
1713397598.500433,10.10.1.100:48944,0,21,23,22,834.809
1713397598.501915,10.10.1.100:48918,0,27,27,26,835.591
1713397598.503309,10.10.1.100:48934,0,21,22,21,833.373
1713397598.584924,10.10.1.100:48944,0,21,23,22,834.809
1713397598.586491,10.10.1.100:48918,1,28,25,13,835.591
1713397598.587934,10.10.1.100:48934,0,21,22,21,834.791
1713397598.669748,10.10.1.100:48944,0,21,23,22,834.809
1713397598.671193,10.10.1.100:48918,1,28,23,13,835.591
1713397598.672618,10.10.1.100:48934,0,21,22,21,835.368
1713397598.753486,10.10.1.100:48944,0,21,23,22,835.245
1713397598.754939,10.10.1.100:48918,1,28,23,13,835.591
1713397598.756273,10.10.1.100:48934,1,22,20,11,835.461
1713397598.837166,10.10.1.100:48944,0,21,23,22,835.535
1713397598.838630,10.10.1.100:48918,1,28,23,13,835.591
1713397598.839995,10.10.1.100:48934,1,22,17,11,835.461
1713397598.921597,10.10.1.100:48944,0,21,23,22,835.662
1713397598.923114,10.10.1.100:48918,1,28,23,13,835.591
1713397598.924447,10.10.1.100:48934,1,22,16,11,835.461
1713397599.006645,10.10.1.100:48944,1,22,20,11,835.667
1713397599.008105,10.10.1.100:48918,1,28,23,13,835.668
1713397599.009487,10.10.1.100:48934,1,22,16,11,835.461
1713397599.090898,10.10.1.100:48944,1,22,17,11,835.674
1713397599.092665,10.10.1.100:48918,1,28,23,13,835.684
1713397599.094094,10.10.1.100:48934,1,22,16,11,835.529
1713397599.175943,10.10.1.100:48944,1,22,16,11,835.674
1713397599.177431,10.10.1.100:48918,1,28,20,13,835.734
